managerID,teamID,startDate,endDate
99,228,2014-09-01,2015-11-01
100,228,2019-02-01,2021-06-01
1,229,2016-11-01,2017-05-01
44,229,2017-05-01,2021-06-01
101,229,2013-06-01,2016-07-01
102,229,2016-07-01,2016-10-01
235,230,2020-08-01,2021-01-01
505,230,2016-12-01,2020-08-01
506,230,2015-07-01,2016-11-01
171,230,2012-01-01,2015-06-01
155,231,2018-04-01,2021-06-01
507,231,2017-07-01,2018-04-01
319,231,2016-07-01,2017-06-01
344,231,2016-04-01,2016-06-01
364,231,2015-10-01,2016-04-01
126,231,2015-07-01,2015-10-01
153,231,2014-06-01,2015-06-01
485,231,2013-06-01,2014-05-01
328,232,2019-07-01,2021-01-01
467,232,2018-10-01,2019-06-01
509,232,2018-07-01,2018-10-01
153,232,2017-07-01,2018-06-01
510,232,2015-11-01,2017-06-01
511,232,2014-07-01,2015-11-01
512,232,2014-03-01,2014-06-01
513,232,2013-09-01,2014-03-01
107,233,2020-01-01,2021-06-01
514,233,2016-03-01,2020-01-01
515,233,2015-12-01,2016-03-01
516,233,2015-07-01,2015-11-01
517,233,2015-02-01,2015-06-01
518,233,2014-03-01,2015-02-01
519,233,2014-01-01,2014-06-01
520,234,2020-07-01,2022-10-01
