managerID,teamID,managerName,startDate,endDate
22,93,Tony Pulis,201712,201905
35,93,Neil Warnock,202006,202111
48,93,Garry Monk,201706,201712
85,93,Aitor Karanka,201311,201703
86,93,Jonathan Woodgate,201906,202006
157,94,Ivan Juric,201907,202106
158,94,Fabio Pecchia,201609,201907
159,94,Luigi Delneri,201512,201609
160,94,Andrea Mandorlini,201011,201512
161,95,Paulo Fonseca,201907,202107
18,95,Claudio Ranieri,201903,201907
162,95,Eusebio Di Francesco,201706,201903
163,95,Luciano Spalletti,201601,201706
165,95,Rudi Garcia,201306,201601
166,96,Simone Inzaghi,201604,202106
167,96,Stefano Pioli,201406,201604
168,96,Edoardo Reja,201401,201406
169,97,Sinisa Mihajlovic,201901,na
170,97,Filippo Inzaghi,201807,201901
171,97,Roberto Donadoni,201510,201807
172,97,Delio Rossi,201505,201510
173,97,Diego Lopez,201407,201505
174,97,Davide Ballardini,201401,201407
175,98,Andrea Pirlo,202008,202105
41,98,Maurizio Sarri,201906,202008
176,98,Massimiliano Allegri,201407,201906
40,98,Antonio Conte,201106,201407
177,99,Luca Gotti,201911,202112
178,99,Igor Tudor,201903,201911
179,99,Davide Nicola,201811,201903
180,99,Julio Velazquez,201807,201811
178,99,Igor Tudor,201804,201807
181,99,Massimo Oddo,201711,201804
159,99,Luigi Delneri,201610,201711
182,99,Giuseppe Iachini,201605,201610
183,99,Luigi De Canio,201603,201605
184,99,Stefano Colantuono,201506,201603
185,99,Andrea Stramaccioni,201406,201506
49,99,Francesco Guidolin,201005,201405
172,100,Delio Rossi,201904,na
186,100,Bruno Tedino,201706,201904
187,100,Diego Bortoluzzi,201704,201706
173,100,Diego Lopez,201701,201704
188,100,Eugenio Corini,201611,201701
189,100,Roberto De Zerbi,201609,201611
190,100,Walter Novellino,201603,201609
174,100,Davide Ballardini,201511,201601
182,100,Giuseppe Iachini,201309,201511
195,101,Rolando Maran,202008,202012
