contractID,managerID,teamID,managerName,startDate,endDate
346,247,133,Hannes Wolf,201609,201801
347,271,133,Jos Luhukay,201607,201609
348,146,133,Jurgen Kramny,201511,201606
349,307,133,Alexander Zorniger,201507,201511
350,262,133,Huub Stevens,201411,201506
351,302,133,Armin Veh,201407,201411
352,262,133,Huub Stevens,201403,201406
353,308,133,Thomas Schneider,201308,201403
354,249,134,Markus Gisdol,201911,202104
355,279,134,Achim Beierlorzer,201907,201911
356,309,134,Andre Pawlak,201904,201906
357,286,134,Markus Anfang,201807,201904
358,310,134,Stefan Ruthenbeck,201712,201806
359,295,134,Peter Stoger,201307,201712
360,311,135,Christian Streich,201112,na
361,261,136,Julian Nagelsmann,201907,202106
362,312,136,Ralf Rangnick,201807,201906
363,16,136,Ralph Hasenhuttl,201607,201805
364,312,136,Ralf Rangnick,201507,201606
365,279,136,Achim Beierlorzer,201502,201506
366,307,136,Alexander Zorniger,201207,201502
367,82,137,Javier Gracia Carlos,201406,201605
368,112,137,Juande Ramos,201605,201612
369,113,137,Marcelo Romero,201612,201703
